metric,value
frames_processed,120
total_faces_detected,85
processing_time_sec,11.4808
average_fps,10.4522
avg_encryption_ms,6.8740
total_encryption_sec,0.8249
avg_decryption_ms,1.3310
total_decryption_sec,0.1597
avg_mse,0.000000
avg_psnr_db,inf
avg_npcr_percent,99.6086
avg_uaci_percent,33.6855
signature_verification_rate_percent,100.0000
original_video_size_bytes,1611169
encrypted_video_size_bytes,37018524
decrypted_video_size_bytes,6780856
size_increase_bytes,35407355
size_increase_percent,2197.6189
